discipline,M,rho,T,h,k,seed,num_packets,simulation_EW,theoretical_EW,absolute_error,relative_error
limited,5,0.5,3.0,0.8,1,3,15068,8.161979620788653,8.045454545454545,0.11652507533410805,0.014483342696894786
limited,5,0.6,3.0,0.8,1,1,18030,13.176226286677233,13.083333333333327,0.09289295334390602,0.007100098344757151
limited,5,0.6,3.0,0.8,1,2,18111,13.774548335961233,13.083333333333327,0.6912150026279065,0.05283171994608205
limited,5,0.6,3.0,0.8,1,3,18043,13.119188050164171,13.083333333333327,0.03585471683084407,0.0027404879106377646
limited,5,0.7,3.0,0.8,1,1,21065,28.933777366084048,29.382352941176453,0.44857557509240564,0.015266836389531331
limited,5,0.7,3.0,0.8,1,2,21179,33.79055281140296,29.382352941176453,4.4081998702265075,0.15002882441211346
limited,5,0.7,3.0,0.8,1,3,20955,29.609322068266994,29.382352941176453,0.22696912709054118,0.007724674996074479
limited,10,0.1,3.0,0.8,1,1,3040,4.74417227886952,4.797709923664123,0.05353764479460299,0.011158999949233079
limited,10,0.1,3.0,0.8,1,2,3050,4.761780850875067,4.797709923664123,0.035929072789055994,0.007488796396764255
limited,10,0.1,3.0,0.8,1,3,3081,4.813854782438477,4.797709923664123,0.016144858774353565,0.0033651177397618403
limited,10,0.2,3.0,0.8,1,1,5993,5.88134911262715,5.866071428571429,0.015277684055721608,0.0026044149379616742
limited,10,0.2,3.0,0.8,1,2,6083,5.768051467228347,5.866071428571429,0.09801996134308144,0.0167096433339804
limited,10,0.2,3.0,0.8,1,3,6069,6.0056078875203,5.866071428571429,0.13953645894887146,0.023787037141968954
limited,10,0.3,3.0,0.8,1,1,8992,7.371874066724547,7.370967741935483,0.0009063247890637172,0.00012295872411805355
limited,10,0.3,3.0,0.8,1,2,9158,7.393795970070354,7.370967741935483,0.02282822813487062,0.0030970462677505
limited,10,0.3,3.0,0.8,1,3,9095,7.620371346679949,7.370967741935483,0.2494036047444661,0.03383593762397571
limited,10,0.4,3.0,0.8,1,1,12057,9.756501298110493,9.64864864864865,0.1078526494618437,0.011178005686521615
limited,10,0.4,3.0,0.8,1,2,12133,9.932090847073813,9.64864864864865,0.2834421984251634,0.02937636230176763
limited,10,0.4,3.0,0.8,1,3,12157,9.902688563268583,9.64864864864865,0.25403991461993414,0.02632906678133771
limited,10,0.5,3.0,0.8,1,1,15071,13.498947154959847,13.5,0.0010528450401530165,7.798852149281604e-05
limited,10,0.5,3.0,0.8,1,2,15118,13.862870441765368,13.5,0.3628704417653683,0.026879291982619874
limited,10,0.5,3.0,0.8,1,3,15064,13.764897174857104,13.5,0.2648971748571043,0.019622012952378094
limited,10,0.6,3.0,0.8,1,1,18027,21.439083847314205,21.416666666666657,0.022417180647547497,0.0010467166061111676
limited,10,0.6,3.0,0.8,1,2,18104,22.437535538629245,21.416666666666657,1.0208688719625876,0.047667029041054694
limited,10,0.6,3.0,0.8,1,3,18040,21.896780302941114,21.416666666666657,0.48011363627445647,0.022417757335772295
limited,10,0.7,3.0,0.8,1,1,21061,46.824151957077625,47.029411764705856,0.20525980762823082,0.004364498723802283
limited,10,0.7,3.0,0.8,1,2,21176,52.36325728425602,47.029411764705856,5.333845519550167,0.11341510172902175
limited,10,0.7,3.0,0.8,1,3,20949,46.60645395240302,47.029411764705856,0.42295781230283325,0.00899347443295581
limited,20,0.1,3.0,0.8,1,1,3041,9.392881167393806,9.377862595419847,0.015018571973959283,0.0016014920053631795
limited,20,0.1,3.0,0.8,1,2,3050,9.51962821632783,9.377862595419847,0.14176562090798228,0.01511705033695212
limited,20,0.1,3.0,0.8,1,3,3080,9.464439523636335,9.377862595419847,0.08657692821648766,0.00923205339549034
